faiss_position,venue_id,faiss_text
19,45a49f5b-397c-488e-82da-b4846d6c2aca,tgi friday's jumeirah fastfood american burgers low
20,d6b568fa-fda2-4dcc-ab82-67434fd0c36f,cupagahwa al khawaneej fastfood sandwiches beverages medium
21,43169a75-a8c0-48bf-9bc9-9b0dccd4bbcd,farmers coffee al khawaneej breakfast cafe coffee low
22,f72a1c40-2564-46a4-ac03-b2553c6a69d4,mister berry jaddaf desserts bakery desserts medium
23,668057bd-a093-429b-9aee-35d954bbf2ac,lapaz batchoy al muraqqabat fastfood asian seafood low
24,e665599b-cafd-423c-98e7-c929000b28a9,one life jaddaf sandwiches breakfast cafe medium
25,4ad92085-2396-43cf-9cba-51f3ff934445,one doner al mizhar arabic turkish turkish medium
26,4ba0230c-5538-4443-bc8b-391aec4b14e2,acai and the tribe motor city beverages breakfast cafe medium
27,fb7cb70e-b9f4-4487-bcd1-f3d29e38807c,wise kwai barsha heights (tecom) asian healthy japanese high
28,167f79d0-be85-4c97-bb2e-e59b830e6531,luigia ristorante dubai marina pizza italian italian high
29,1e015620-8b4e-4ca5-bce8-5ddeb2d18218,pizzalif restaurant jumeirah pizza italian mexican medium
30,02bad490-3896-4f28-a221-8cb534ff461e,naughty pizza restaurant business bay beverages pizza italian medium
31,2a362ecb-934e-48ce-bbdc-de0e6e696948,pickl dubai marina fastfood american burgers medium
32,bb2026a1-de36-47c4-a97f-e76751434627,blk cab central jumeirah fastfood desserts breakfast low
33,a283e61f-9ef7-4ebd-9835-e4cceb1518a7,wildflower poke dubai studio city beverages asian healthy medium
34,19e298df-aab0-440d-bc9a-e61262d3a3c1,betawi jumeirah lake towers (jlt) asian streetfood asian medium
35,88a0798d-7209-400c-8755-927d8db839b7,comptoir 102 jumeirah breakfast cafe healthy medium
36,bde1e9cd-7188-4f0d-8fdc-d120e49f6d8c,kabila business bay fastfood indian beverages low
37,19812e05-7256-43d3-ab19-fdcee1973c00,slaw al barsha 3 fastfood american burgers low
38,c93815e5-1f16-431a-9d84-21c7ec71df82,cakes by sisi's eatery dubai hills austrian high
39,a5d7c973-9c0e-404b-b51e-b5bda5001e5f,ca phe speciality coffee al warqa beverages desserts arabic low
40,4c56186c-cc8d-4427-9fd2-991ae739ef9f,papa murphy's al karama fastfood american pizza medium
41,ef792caf-af3e-43e7-aa8b-92da9c6b7fc4,danial restaurant al wasl arabic arabic grills medium
42,273095bb-d26d-49a6-91b9-6319e4615f13,daddy's smoke house bbq-grill majan american burgers grills high
43,0431e678-a513-4606-b1df-8054488c5f52,chicken tikka inn al raffa indian asian grills low
44,8f459233-b51e-4500-9e81-8994fef6d6cd,l'eto caffe mirdif breakfast cafe italian high
45,934f25c7-7e48-4c11-8994-d76bca08b1ed,zaroob dubai international financial centre (difc) sandwiches arabic breakfast medium
46,587bc144-ad5f-4d94-9f38-55efc4a15511,grand suvoroff damac hills caucasian medium
47,24a4c5d1-592e-459a-8c5c-8882d92eace3,pitfire pizza al barsha south 3 pizza italian italian medium
48,14377592-8ba5-4631-aebf-dbaa73b11e6f,un dimanche à paris bluewaters island breakfast cafe salads high
49,766179a8-ffc2-4b05-94c6-264086efb226,bonbird chicken shop motor city fastfood burgers fastfood medium
50,3a7b217c-f71e-476d-81e5-376fb5f96d98,ana - dubai mall downtown dubai arabic grills beverages medium
51,c10e720a-6132-4627-aaf4-997ca815b790,the coffee club dubai marina sandwiches beverages breakfast medium
52,817b5203-2647-4b8a-94fe-f88dc473554e,the coffee club bluewaters island sandwiches breakfast cafe medium
53,4f233f87-6cdf-4b0d-bf7c-678225d43f40,al amoor express dubai international financial centre (difc) arabic breakfast arabic medium
54,60bca09c-3c70-4725-8d3c-6063627f1fa8,chai king al karama indian breakfast fingerfood medium
55,81d53419-a982-4bfb-a05e-fc4231f95265,jigarchi jumeirah grills grills turkish low
56,06069678-2694-4d94-b500-a80b651c2a8b,popolare positano restaurant al barsha south 3 sandwiches pizza italian medium
57,8252fa8c-1c38-478d-917e-4103a4fb55bd,subway festival city sandwiches beverages american medium
58,b6bd091a-bf5d-432a-a21c-55a4da6d4961,mokha 1450 coffee boutique al bada'a breakfast cafe coffee low
59,e8934cf6-1f2f-4fd8-b304-8abb2ef78102,indi spice international city indian chinese seafood medium
60,a128de64-fcbe-4af6-8384-1bc5bcec32a3,the noodle house palm jumeirah asian healthy chinese medium
61,996e822f-631d-4a03-a52e-353c6a00b37f,l'avo al sufouh 2 sandwiches breakfast burgers medium
62,84e08f70-9a87-44e4-b6f2-69b61c7d340a,kream by makaw dubai international financial centre (difc) sandwiches desserts cafe medium
63,88ad69b8-0e9b-4af4-9a35-880ee9f23ccb,jaffer bhai's al barsha 1 indian beverages desserts medium
64,df9d2123-5553-4dd4-92b4-56159c586d01,papa murphy's al quasis 1 american pizza international low
65,7f81e32b-6738-43ad-aaa9-7fc6a584fff3,swades vegetarian restaurant al karama fastfood indian asian low
66,9aa62701-f02c-420a-bd92-803b27f89f0b,caribou coffee umm hurair 2 sandwiches cafe coffee low
67,6c1032a9-eb9e-4768-94dc-479704e0bedb,the robata by takahisa bluewaters island asian japanese japanese medium
68,cf0d3897-9e44-4c53-8e79-a2f9df439595,farideh restaurant jumeirah arabic arabic grills medium
69,e2c344e0-b76a-4083-82fa-54e0a6281deb,kusina natin to restaurant al bada'a breakfast fastfood seafood medium
70,6626d648-49a8-4ee0-8c06-41d865b83981,fruit and dip motor city sandwiches beverages desserts low
71,6822c357-1089-472d-875e-5d8a8c949243,pret a manger dubai international financial centre (difc) sandwiches breakfast cafe low
72,1a5d284c-2f16-42cd-9b27-cdc380f826ac,gypsy chinese al karama indian asian chinese medium
73,6f71d73d-a46e-45ce-a2af-2554096e2ac4,chalco's mexican grill jumeirah lake towers (jlt) healthy mexican mexican low
74,e847a1a7-2d5b-42ec-955f-80240ea6a1b5,gino's deli jumeirah lake towers (jlt) sandwiches italian salads medium
75,c3dd35f0-2ac2-4b24-808a-488139334e15,sharetea port saeed beverages cafe cafe medium
76,6e65e1c7-18c5-4c3f-8aa2-cc353cf639e1,pinkberry nadd al shiba desserts desserts icecream low
77,d7d25717-846a-45e9-ae21-e3792ec8ee39,ikigai dubai marina burgers asian healthy high
78,9d757100-da9a-4347-a396-7ccc8b901007,suyaya restaurant cafe business bay african medium
79,c2bc46d9-7837-42ea-9191-4565739db262,eataly at the beach dubai marina beverages pizza italian high
80,5e5c3948-bb4a-42c3-9c5c-daa36cfd4b34,nightjar muhaisnah 1 sandwiches breakfast cafe medium
81,386da4ff-166b-4932-a93e-237a8ce5c719,sujas kitchen dubai silicon oasis (dso) afghan medium
82,98ef9278-1906-44ee-a772-0c37be96960a,nonya pan jumeirah lake towers (jlt) asian seafood salads high
83,cc0196ca-8317-4207-be3d-eb60450d96a5,the cheesecake factory dubai marina beverages desserts american high
84,569cef2b-dcfe-4367-a4e2-b4147ccf40c9,eat greek dubai hills seafood mediterranean greek medium
85,7e7555be-4e9e-4241-95c3-1592ea33374c,la vigna al garhoud pizza italian italian high
86,524496ee-6808-4d83-afda-32245ead4a5c,kobeya kitchen jumeirah beverages asian healthy low
87,4e900b8f-4227-4c9f-b959-87fe88faf277,mint leaf of london dubai international financial centre (difc) indian beverages indian high
88,3c0e734a-3884-4b59-9927-9147cf962966,gohan trade centre japanese japanese high
89,dbbdcd50-95fb-4dd4-b5c5-c41c1ea466c3,umami festival city asian seafood japanese medium
90,b1dbc261-d71c-4380-9938-d1f46a9c7020,wingstop dubai silicon oasis (dso) fastfood american fastfood medium
91,d01576af-7798-49d5-9cbd-df0058a49624,la petite ani dubai international financial centre (difc) breakfast coffee healthy high
92,d8acd8ee-3579-4f24-80dc-e67f86012e49,royal china downtown dubai chinese asian chinese medium
93,3e453e64-f418-4321-9ddb-28b2ab5c5b18,kimura-ya authentic japanese restaurant dubai marina asian japanese japanese high
94,93febafa-125c-4cfc-9738-bac56abe0746,rice plus al muraqqabat indian american asian medium
95,85085d50-9f3e-4178-873d-0b33039f4298,cento gelato jumeirah beverages desserts italian medium
96,f92ee11a-f31f-4879-b6a4-c04dbcec96c9,starbucks al safa 2 breakfast cafe coffee low
97,2c88ef39-1777-41aa-8ed6-5c8c4a7d3fc7,maraheb dubai international financial centre (difc) arabic breakfast arabic medium
98,35b6e96f-d730-4c04-b556-5d2375a2f8a5,yalla akleh al warqa sandwiches arabic grills medium
99,5fcc9fd9-fef2-4af6-a190-6aaeef83fbc6,la donuteria jumeirah sandwiches desserts cafe medium
100,207c7c7d-0ae0-4cd6-9b36-f97cbf2d35cd,cravista al barsha 1 indian beverages cafe high
101,32287ef3-ca6a-48f4-9f4a-4b831bbb4dcb,ibn al bahr palm jumeirah arabic grills lebanese high
102,ecba4e46-d3c4-455a-82be-6d05d868ed51,marrybrown al mankhool fastfood burgers fastfood medium
103,b7af90e5-3a8e-4439-90d7-18af69facd4e,mara lounge restaurant jumeirah fastfood sandwiches desserts high
104,b40df7ed-1411-4c7a-a3cf-e7139a6551e3,gerard cafe al mizhar beverages cafe sandwiches medium
105,6f0d6977-e4a5-4bdc-b9a6-9e9d778312fe,zahr al karz restaurant al barsha 1 sandwiches beverages arabic medium
106,96336c94-59e1-408c-9aae-13b6d3d5b4ca,the sum of us trade centre sandwiches beverages breakfast medium
107,8bde43f9-d71a-487f-a4b8-c707be1ff216,claypot al mankhool indian indian indian medium
108,8d5d8092-7896-4b17-b408-1aec2c9b77cf,granny's waffles downtown dubai desserts cafe desserts medium
109,0e485909-ee5d-4d2b-9974-171c76fa1841,le pain quotidien mirdif desserts breakfast cafe medium
110,24e3f3aa-8aad-4b7b-93b2-688a4cb793ff,joga al sufouh 2 sandwiches beverages cafe low
111,43230d78-6c66-4ecf-8d27-b52eda3c22c0,domino's jumeirah fastfood american pizza medium
112,b93da254-b515-4dcc-a23c-2fa1795318cc,salt umm suqeim fastfood american burgers medium
113,9c1fe7a2-5436-4bb1-baa8-afc9c2b9f58f,katsuya – hyde dubai business bay asian healthy japanese medium
114,57d1f735-2b0f-4ec3-a623-260b676f0380,halo halo restaurant dubai marina asian seafood japanese medium
115,85dd67ef-c9f7-4e93-8ecc-8e64aca71288,mado bluewaters island beverages desserts arabic high
116,2576030b-4d00-4f85-b9b9-d6b9c8bc6ac1,the lime tree café motor city beverages desserts breakfast medium
117,a67dc1e4-6609-4fc8-8c1a-5a1318d040b4,sahelnom express business bay fastfood arabic arabic medium
118,c78c375c-d15e-4cc7-91bc-edfda422a942,karaz dubai creek harbour beverages arabic arabic medium
119,f2b1dd0f-1b0d-472b-8f01-c76ddeba7536,firuzeh dubai marina arabic grills grills medium
120,fdf156d8-c4ba-4b81-bb57-f01868f44948,beef station restaurant dubai sports city arabic grills grills medium
121,62717237-35f0-4773-a616-a49784e81da9,cake n more patisserie hor al anz east desserts desserts icecream medium
122,3ffa48dd-1a8f-431f-a225-524416fd8559,bada bing pizza dubai marina fastfood sandwiches beverages medium
123,12dfda98-5d3f-46d2-a919-27fa806c9e96,al sanyoor mirdif fastfood sandwiches arabic low
124,c2a6bff9-4a1a-463d-a41b-8c6214210085,menagerie mirdif arabic cafe healthy medium
125,abbbe591-db03-4533-8218-0ac3ac04dee5,il passaggio jumeirah park breakfast pizza italian high
126,0ece2f4d-7836-4641-906f-0f0099eec529,mister coco's baker al wasl desserts cafe bakery low
127,4c9de159-469e-4744-9aa8-78c56e607461,pitaya thai street food dm bluewaters island indian thai asian medium
128,245ee045-fa3e-4c40-9599-f1136a58f4f7,ananda bhavan restaurant jumeirah lake towers (jlt) indian breakfast indian low
129,cdf1f492-9b67-4b85-bfe5-5b4004bf2e26,cake away dubai silicon oasis (dso) desserts cafe bakery low
130,d6db5d74-b3bf-43fd-b3bb-53b057a41816,aballii burgers muhaisnah 1 arabic american burgers low
131,07d9268d-f350-49f8-805e-aee91343a72a,bombay borough dubai international financial centre (difc) indian arabic grills high
132,89d7634d-7988-4697-9cca-037a4d409083,nightjar city walk sandwiches breakfast cafe medium
133,63783d42-162f-46dc-9240-6ded4acf3099,domino's dubai marina fastfood american pizza medium
134,6410a7d5-a7ab-4eed-9351-f21f828bdfd4,swades vegetarian restaurant discovery gardens indian indian indian low
135,c6e8f82a-e5d6-4fff-ab9e-0e12f5cb0509,la maison business bay desserts french breakfast medium
136,a8bb0b30-d185-4d99-8aa9-28a619f29c35,krispy kreme motor city beverages desserts breakfast medium
137,929baeec-ae78-489f-9eb3-38e4b7cc5380,dlish cafe dubai international financial centre (difc) sandwiches coffee cafe medium
138,1843c817-6fa3-4063-8faa-cce296686c7d,chick'n co al khawaneej fastfood american burgers low
139,ebde11ee-ee40-474a-a4e3-e8948b99aa8a,milky ice al wasl desserts desserts icecream medium
140,c558d8cb-691c-410c-b414-2777b1a9cf6a,al antabli business bay beverages desserts beverages medium
141,1fe73a7d-e631-4512-840b-2f1bcbfa5842,shake shack motor city fastfood sandwiches beverages low
142,49034fbb-5f13-4da0-bba6-8323f00e89b5,arabeska trade centre indian sandwiches beverages medium
143,e0d068df-a5e2-4107-b21e-f5a05a203a8d,manoushe n bites jumeirah lake towers (jlt) sandwiches beverages arabic low
144,114fd040-0f9c-45da-b96f-5037d326103f,circle cafe dubai studio city sandwiches breakfast burgers medium
145,529ad7ed-6ecd-47d7-8c2f-92c85488f57c,kamat vegetarian al sufouh 2 indian beverages desserts low
146,44593f8c-9b2e-4e5c-9e0b-b80e69c05b49,al sakhra restaurant butchery al satwa burgers arabic grills medium
147,868db0c8-6eb3-4f49-8dcc-bb1f7c2b7cc7,lpm restaurant bar dubai international financial centre (difc) mediterranean european vegetarian high
148,88846ab4-3840-4372-8cad-9ad7767be3f4,the lime tree café umm al sheif new zealand medium
149,67f5f2f5-3b1f-41c2-a719-2d5dcbed888d,leila downtown dubai lebanese turkish arabic medium
150,db1ebe16-5964-4dc7-84b6-d0e41c641d87,wagamama palm jumeirah beverages asian japanese medium
151,dafd15c2-27a9-4aa3-8186-779a17ac2789,il lago al sufouh 2 italian mediterranean medium
152,8f1aa26a-0c54-44aa-a093-16f477115e06,café beirut dubai international financial centre (difc) sandwiches beverages desserts low
153,8c9a94fb-26ef-4451-b2aa-bacfa0eed295,bosporus downtown dubai mediterranean turkish high
154,a12c8141-7785-4c38-a70e-0afb589e676c,grillo the healthier option jebel ali village fastfood healthy grills low
155,ac918d0b-7515-433e-b96c-6bef1c666693,amanos restaurant and cafe jumeirah beverages arabic grills medium
156,a77df79f-447d-4d4b-b198-c5428227bca6,starbucks the villa breakfast coffee bakery medium
157,c9c72e56-c842-4f95-b8b6-fdff3f17652e,berutus dubai international financial centre (difc) fastfood sandwiches arabic low
158,93815f51-ddf0-4da4-a129-b1beb552fa12,al meshwar restaurant al safa 2 arabic grills grills medium
159,5599b029-942b-49ac-a892-a9a6fd11a37e,massimo's gelato caffé al barsha 1 italian bakery icecream medium
160,d66476ce-1773-4cc9-914e-ff95bf3f8217,suleman usman mithaiwala restaurant and sweets al souq al kabeer indian desserts breakfast medium
161,f1afd136-f687-4316-abe9-645cc33be8e7,belgian beer cafe barsha heights (tecom) european fingerfood belgian high
162,1246d4a8-a93d-44cd-b0ed-94037fda4a98,cando restaurant al rigga beverages arabic grills medium
163,f42c2428-5ed8-4cc1-9757-8edcf1d5323e,domino's international city fastfood american pizza medium
164,e44a93e4-8205-4af6-b72e-217a5bbe6ba9,pancake house al barsha 1 beverages breakfast cafe low
165,d050f63f-c954-47b6-acf0-606f924b0a1d,wawa dining al barsha 1 asian japanese japanese high
166,8e064629-01ba-41e5-a2c3-1f9cd9078976,sushiart dubai hills asian japanese japanese low
167,08ebaee6-1e8d-4cae-90d9-7788732f9b04,gazebo mirdif indian grills seafood medium
168,6ac95cd3-bd62-4640-82ef-470acb6c4911,el cocina business bay mexican mexican mexican medium
169,ad6f2e1d-3167-404e-83df-03c8a115bad8,paratha king business bay indian desserts indian low
170,5f6b71bf-20fe-4b3d-8999-fc9068875dc4,jasmint restaurant jumeirah lake towers (jlt) yunnan medium
171,55caaf1b-6445-4b60-b795-e58ab2dbf89b,the oriental chef dubai silicon oasis (dso) asian fastfood chinese medium
172,5ab8c01d-400b-4a62-8804-09001ae1ec0f,chaiiwala of london barsha heights (tecom) indian beverages desserts low
173,be730c63-5ed3-4052-88e6-c8f412bea06f,st tropez bistro al sufouh 1 italian french grills medium
174,2b69f1e6-2f57-4ea7-a47f-d69e747490c1,eggspectation dubai marina desserts american breakfast medium
175,0cb71390-62c9-4cc9-9142-c5df55b2002d,wingstop mirdif fastfood fastfood fried chicken medium
176,e7256dbe-70af-4890-9f9f-e02d3309f672,beyoglu baklava umm suqeim desserts arabic arabic low
177,511c8212-12e6-4e47-89fb-2f7dc62a2a2e,malang lounge restaurant business bay indian burgers healthy medium
178,b0b71373-1970-4ef4-aa06-97071f6f074d,din tai fung bluewaters island asian chinese asian medium
179,980983b0-f29d-4e76-b332-22566339f047,al hallab al barsha 1 fastfood sandwiches arabic medium
180,2e765287-e5be-4d49-838e-4f0ea06a78e5,somun jumeirah lake towers (jlt) croatian medium
181,0cbe60f4-c5df-4ec0-9e92-b89ef9cdf79e,next door street mirdif fastfood sandwiches beverages medium
182,59aaf805-17be-4722-987c-e1507cf1f390,the hamptons café jumeirah islands desserts breakfast cafe medium
183,f019252f-600b-425b-97f5-b0e07465947d,starbucks dubai international financial centre (difc) breakfast cafe coffee low
184,4890871e-a40c-4988-9819-2d6346c7258e,purani dilli al mankhool indian turkish indian medium
185,34025d22-04b5-401a-b8cf-0874823bc1dd,ldc kitchen coffee dubai international financial centre (difc) desserts breakfast cafe medium
186,4f2acc80-410b-48f9-a5d4-6fd80b4fca33,pressman's pressed sandwiches downtown dubai fastfood sandwiches breakfast medium
187,f7e8874a-37d5-4191-a533-945987848341,77 asia al barsha south 3 beverages asian chinese medium
188,8b3493b8-5f93-4010-b92e-711a9f1268aa,maraheb al safa 2 arabic breakfast arabic medium
189,883419d9-3883-48e3-bf04-78aafb3e2f2f,choco doh cookies downtown dubai desserts cafe coffee low
190,e7968a5b-bb1c-4e78-aad3-7f5bbfb260c5,osteria mario dubai marina sandwiches pizza italian medium
191,d766a97e-5c09-4c73-afc3-6acd14e68ee2,papa murphy's riggat al buteen fastfood american pizza medium
192,46efb6dd-1c58-431a-aeb1-60bd6ede299b,peppers nashville hot chicken za'abeel 2 fastfood sandwiches american low
193,1ad27c8b-83b8-4440-9e60-823afcce97dc,the lighthouse pizza pasta al barsha 2 pizza italian medium
194,3d80f90a-5ba1-429d-80aa-57a35727dd3e,costa coffee downtown dubai sandwiches cafe coffee medium
195,21d7c803-bff3-4597-bed1-4ef19696b9bd,stoners korner al barsha south 3 fastfood american burgers medium
196,35858f13-02b0-4125-acd2-14f67bfe6eec,cali acai business bay american healthy seafood medium
197,e60c5390-8633-4f83-9605-464b6e79066d,dip dash business bay asian healthy asian medium
198,194b322d-85f9-4ba4-8fe4-b93970141cfd,domino's the greens fastfood american pizza medium
199,0ea29a31-e9c3-4b8b-b4e5-a4bda6f3d570,anar umm suqeim arabic grills grills high
200,36041169-c8bf-4208-a245-f881e762441c,delkit al hudaiba arabic grills turkish medium
201,fa624c1c-95c5-4ac5-aa04-2df4330e87c0,al fanar restaurant and cafe festival city arabic arabic grills high
202,2bb6349a-90d3-4cbb-ae0e-cccaadabcda5,bhoujan motor city indian asian chinese medium
203,7f2504b5-8a78-4e4d-8ba2-e45d094cf51e,sultan saray restaurant umm al sheif tibetan medium
204,974dc64d-02ec-4a49-bc35-abaa0833b239,jewels cafe jumeirah cafe medium
205,0444759a-3077-42b8-8302-8f74c0bde530,grand swathi al karama indian breakfast chinese low
206,482d2d2e-03da-4562-81bb-d932f370c63c,ldc kitchen coffee al sufouh 2 desserts breakfast cafe medium
207,9ce67816-622a-4b64-896b-b2c622733831,shake shack downtown dubai fastfood sandwiches beverages low
208,6c220084-8b9c-47d9-8d40-6cd1ca4e73d5,shaghf cafe al barsha 3 coffee cafe medium
209,67910817-cf08-4a13-a63a-5d4d607119f7,bake n more factory al quoz industrial area 3 sandwiches breakfast cafe medium
210,1140568e-6bae-425d-86c5-7a6538069321,pizza di rocco jumeirah lake towers (jlt) beverages pizza italian medium
211,0088ae85-93f1-48ee-9764-9a2e711a135e,masaya first cup restaurant café trade centre arabic arabic grills medium
212,12d13d5f-1502-469e-a8e9-7ec4266a555a,bob's fish chips dubai marina fastfood indian seafood high
213,4a2614b1-b9e6-4cf3-bbf5-d6ed5863d2ba,rawabi al sham al nahda 1 sandwiches arabic arabic low
214,f73235c4-b0d5-4fb3-8d83-446f356d6122,ovenstory pizza al barsha 1 fastfood beverages american medium
215,42ffd291-b3c2-4ac1-be59-4931b1edc3e7,taqado mexican kitchen business bay mexican mexican mexican medium
216,56148745-3bdc-42a0-83cc-2c1770de2480,starbucks al muraqqabat breakfast cafe coffee medium
217,d4bdfff7-f104-4b0b-a307-cf3902b7fb5e,istanbul flower restaurant al wasl turkish turkish turkish medium
218,754de453-e35f-4718-a470-acbb25595d1b,yava jumeirah sandwiches arabic breakfast high
219,82ef9e91-f8b7-42c2-828d-904d1543f7fa,karakee cafe al quasis 1 fastfood sandwiches beverages low
220,9f91f08b-cb6c-4f82-942c-04bd22f9bcc0,taqado mexican kitchen umm suqeim mexican mexican mexican low
221,3aca564a-f9e0-4e17-b01b-91d1752b185c,delicut dubai international financial centre (difc) breakfast international seafood medium
222,f7b8330d-e316-4b91-b3fa-c7a1646410c4,society dxb jumeirah sandwiches breakfast burgers high
223,75fee132-f5c5-4ee7-b2db-449dbd256276,prime burger muhaisnah 1 fastfood american burgers medium
224,86cbdb85-c8d7-4662-bb50-a64d2cb465d4,merika by chimney cake factory port saeed desserts cafe desserts medium
225,08a7c76e-d830-4a12-bbea-10cfeaa4b245,the hub 7 jumeirah lake towers (jlt) fastfood indian burgers medium
226,1e4ecd31-fbf2-4516-8463-eae6f4c52bb9,tgi friday's festival city fastfood american burgers medium
227,1b4b09db-49e6-4d02-a393-efbb9fcc741e,turkish village restaurant jumeirah desserts arabic grills high
228,73d5aa91-b1d7-41c8-a0f3-b7d60cc92afb,flavor land dubai marina fastfood indian arabic low
229,d8b4cc16-3182-4097-81b0-78d36a982b7f,skazka al saha russian restaurant al murar breakfast grills european medium
230,ae03a583-29af-45cd-92a8-595dee7a5a00,katrina sweets confectionery al rashidiya desserts bakery desserts medium
231,3161fbb5-1703-4d59-803c-ec759bb75e8c,aurum restaurant cafe discovery gardens arabic grills lebanese medium
232,1864b5d4-157f-40df-b51d-6db9a51c72a1,bentoya motor city indian japanese asian medium
233,5d9e0d8b-9894-400b-a72c-e8b86d5661d5,cha cha chai port saeed indian sandwiches burgers low
234,91f82939-ebf8-40a3-bba9-8b379599cda5,arabeska cw restaurant city walk sandwiches arabic international medium
235,28572db6-578f-42ea-8862-3c0b2b5fbc76,sal's sushi bar palm jumeirah american asian japanese medium
236,c41d1804-3bfb-435d-88b3-94921064befa,gazebo jumeirah lake towers (jlt) indian beverages desserts medium
237,9e4565f5-217e-4dcb-8750-16be2c672a18,domino's al quoz industrial area 3 american pizza medium
238,cdc9baed-a33e-4b2d-a803-1ba5b611b656,maestro pizza jumeirah village circle (jvc) fastfood pizza italian low
239,50b34822-6660-4a4a-ba02-149a9334ebe3,malak al tawouk dubai silicon oasis (dso) sandwiches healthy grills low
240,d0d6cc2d-fa82-4475-a88c-48738d9c4d3c,arabian grill remraam arabic breakfast arabic low
241,0be4815e-4989-4125-b4a2-b87eaaa5f6d8,pedal ras al khar industrial area 1 sandwiches american breakfast medium
242,7d46d12f-9bef-4c10-8343-75f115ebce82,real meal al quoz industrial area 1 breakfast burgers healthy medium
243,61378638-48b1-48fe-8951-5898206bb7f8,subway dubai studio city sandwiches beverages american medium
244,d2867fd6-446f-456f-b851-aef4c2dde3ec,breaking bread al sufouh 2 sandwiches beverages breakfast medium
245,f6c862d7-e84a-4f07-a1ea-ed22f674fa15,o'liv bakery eatery motor city desserts cafe pizza medium
246,446ce306-12ae-48eb-b946-7fa22d80e8e7,wild the moon dubai international financial centre (difc) healthy vegan gluten free medium
247,223b1849-8788-44a9-adad-06af98d86623,oregano restaurant dubai silicon oasis (dso) beverages pizza italian medium
248,13b59128-2441-480f-afc8-419131a8166c,bakery bite cafe al karama beverages desserts bakery medium
249,ea2b8a67-6148-4261-8696-a944cdfb46b8,bosporus dubai marina arabic arabic grills high
250,781c95e5-8f74-428d-95e1-cded08a76c00,kapadokya restaurant al barsha 1 arabic grills grills medium
251,719622ee-5704-4701-824e-3335db67be5c,starbucks the greens breakfast cafe coffee low
252,0265cbbe-e23f-409d-8a1c-2c45b0779d59,malgudi dubai silicon oasis (dso) indian beverages desserts low
253,ea9e4291-8ff1-4976-b200-ac3b356c5d6e,pizzaexpress business bay fastfood beverages desserts low
254,caac3aaf-55c8-4272-9ddd-ea1572ab65df,seven seeds cafe al sufouh 2 indian arabic asian low
255,dc70d7ab-d4fc-4c53-9578-e700b394ea5a,grand abshar restaurant umm suqeim beverages desserts asian low
256,f8ada658-95fa-4efa-8f61-48cf7d8eb490,pinkberry dubai hills desserts desserts icecream medium
257,6562dc49-47f7-4dd8-af7d-d26ea93d667d,proteinhouse jumeirah sandwiches beverages american medium
258,d2c998e0-fe44-4a4d-bcf4-eba319ce7dec,calicut notebook al barsha 1 indian asian grills low
259,495f93ec-9784-46a0-8e23-d1116e09bf9f,raydan kitchen restaurant umm suqeim arabic arabic arabic medium
260,23f1d7ce-e823-4d59-963f-a3f9f87b87cb,bartartine dubai international financial centre (difc) sandwiches breakfast cafe high
261,b0bfafa8-d63f-4aa3-a7f2-c73dd1118758,suvoroff al quoz industrial area 4 international bakery cafe medium
